#,קוד פריט,ספק,קטגוריה,שם מוצר,תיאור,יחידה,מחיר אר-אל,מחיר לאחר הנחה,תיאור נוסף,
167,222151,נתון חסר,מוצרי נייר,נייר מגבת איירפלקס איכותי במיוחד 150 מ 1/6,ריק,יח',0,0,,
171,222610,נתון חסר,מוצרי נייר,נייר מגבת כלנית 100 מודבק,ריק,יח',0,0,,
168,222537,נתון חסר,מוצרי נייר,נייר מגבת 200 מטר עם פקקים ,ריק,יח',0,0,,
180,222672,נתון חסר,מוצרי נייר,נייר מגבת חד שכבתי טישו טבעי 72 מ',ריק,יח',0,0,,
177,222650,נתון חסר,מוצרי נייר,נייר מגבת לבנית 115 מ',ריק,יח',0,0,,
169,222572,נתון חסר,מוצרי נייר,נייר מגבת מדיום טישו חד שכבתי פרפורציה 72 מ 1/6,ריק,יח',0,0,,
175,222648,נתון חסר,מוצרי נייר,נייר מגבת אינוביה עם פרפורציה,ריק,יח',0,0,,
197,2250311,נתון חסר,מוצרי נייר,נייר מגבת צץ 4000 דף,ריק,יח',0,0,,
200,225039,נתון חסר,מוצרי נייר,נייר מגבת צץ רץ  קרפ איכותי חד שכבתי 4000 דף,ריק,יח',0,0,,
199,225035,נתון חסר,מוצרי נייר,נייר מגבת צץ רץ 3600 שילגית טישו דו שיכבתי ,ריק,יח',0,0,,
198,225032,נתון חסר,מוצרי נייר,נייר מגבת צץ רץ 3600 תמר ,ריק,יח',0,0,,
161,221245,נתון חסר,מוצרי נייר,נייר מגבת צץ רץ איירפלקס קיפול צר 1760 דף,ריק,יח',0,0,,
196,225031,נתון חסר,מוצרי נייר,נייר מגבת צץ רץ סביון  4000 דף ,ריק,יח',0,0,,
158,220504,נתון חסר,מוצרי נייר,נייר מגבת קונטרול 300 מטר,ריק,יח',0,0,,
173,222644,נתון חסר,מוצרי נייר,נייר מגבת תאית 100 מ' 1/6 ורד,ריק,יח',0,0,,
174,222645,נתון חסר,מוצרי נייר,נייר מגבת לבנית 115 מ' עם פרפורציה,ריק,יח',0,0,,
178,222660,נתון חסר,מוצרי נייר,נייר מגבת כלנית 150 מ' ,ריק,יח',0,0,,
190,225000,נתון חסר,מוצרי נייר,נייר מגבת תעשייתי ,ריק,יח',0,0,,
187,222911,נתון חסר,מוצרי נייר,"נייר סדין טישו לבן 3*1 גלילים 50 ס""מ 127 מטר",ריק,יח',0,0,,
186,222910,נתון חסר,מוצרי נייר,"נייר סדין טישו לבן 3*1 גלילים 60 ס""מ 127 מ'",ריק,יח',0,0,,
489,7111018,נתון חסר,מוצרי נייר,"נייר עיתון אובלי 50*60 למגשים 7 ק""ג",ריק,יח',0,0,,
191,225001,נתון חסר,מוצרי נייר,נייר תעשייתי  400 מ' 1700 מטליות פרפורציה .,ריק,יח',0,0,,
457,711020,נתון חסר,מוצרי נייר,"נייר תעשייתי  5750 ק""ג צר 1000 מטר PRO445",ריק,יח',0,0,,
192,225004,נתון חסר,מוצרי נייר,"נייר תעשייתי  תאית דו שכבתי מודבק  5 ק""ג רוחב 29",ריק,יח',0,0,,
193,225009,נתון חסר,מוצרי נייר,"נייר תעשייתי 1200 תאית חד שכבתי רוחב 29  6 ק""ג",ריק,יח',0,0,,
444,7110007,נתון חסר,מוצרי נייר,נייר תעשייתי דו שכבתי רוחב 32 סמ',ריק,יח',0,0,,
202,225909,נתון חסר,מוצרי נייר,נייר תעשייתי מוסכים פרפורציה,ריק,יח',0,0,,
