#,קוד פריט,ספק,קטגוריה,שם מוצר,תיאור,יחידה,מחיר אר-אל,מחיר לאחר הנחה,תיאור נוסף,
128,17599,נתון חסר,אביזרי ניקיון,מטאטא אירופה,בודד,יח',0,0,,
568,920010,נתון חסר,אביזרי ניקיון,מטאטא ג'וליה - רגיל,בודד,יח',0,0,,
566,920003,נתון חסר,אביזרי ניקיון,"מטאטא כביש 30 ס""מ",בודד,יח',0,0,,
567,920004,נתון חסר,אביזרי ניקיון,"מטאטא כביש 40 ס""מ",בודד,יח',0,0,,
569,920012,נתון חסר,אביזרי ניקיון,"מטאטא כביש 60 ס""מ",בודד,יח',0,0,,
571,920015,נתון חסר,אביזרי ניקיון,מטאטא מירלה זהב,בודד,יח',0,0,,
509,735516,נתון חסר,אביזרי ניקיון,מטהר אויר ספרינג ספריי,ארוז 12 יח',יח',0,0,,
165,2217442,נתון חסר,אביזרי ניקיון,מטליות פילוש,ארוז 100 יח',יח',0,0,,
591,923019,נתון חסר,אביזרי ניקיון,מטלית  לשיש,אריזת שלישיה,יח',0,0,,
593,923030,נתון חסר,אביזרי ניקיון,מטלית לשיש 30*30 בתפזורת,ארוז 250 יח',יח',0,0,,
587,9230006,נתון חסר,אביזרי ניקיון,מטלית מיקרופייבר איכותית לריצפה 50*80 1/3,אריזת שלישיה,יח',0,0,,
590,923018,נתון חסר,אביזרי ניקיון,מטלית מיקרופייבר לשיש 1/5,אריזת חמישיה,יח',0,0,,
589,923009,נתון חסר,אביזרי ניקיון,מטלית מיקרופייבר עם חור   למגב 50*80 לניקוי ריצפה,בודד,יח',0,0,,
588,923008,נתון חסר,אביזרי ניקיון,מטלית סחבה לריצפה לבנה 70*50,ארוז 60 יח',יח',0,0,,
465,711036,נתון חסר,מסעדנות,מיכל 2 ליטר,ארוז 50 יח',יח',0,0,,
466,711037,נתון חסר,מסעדנות,מיכל 4.5 ליטר,ארוז 50 יח',יח',0,0,,
215,232259,נתון חסר,אביזרי ניקיון,מילוי מגבונים ,ארוז 400 יח',יח',0,0,,
254,310164,נתון חסר,חומרי ניקוי,מים מזוקקים גלון 4 ליטר,ארוז 4 גלונים,יח',0,0,,
479,711063,נתון חסר,חד פעמי,מכסה כיפתי עם חור שקוף 95,ארוז 1000 יח',יח',0,0,,
448,7110050,נתון חסר,מסעדנות,מכסה למיכל 2 ליטר ,ארוז 50 יח',יח',0,0,,
467,711038,נתון חסר,מסעדנות,מכסה למיכל 4.5 ליטר,ארוז 50 יח',יח',0,0,,
462,7110338,נתון חסר,מסעדנות,מכסה למיכל 4.5 ליטר,ארוז 50 יח',יח',0,0,,
446,711004,נתון חסר,מוצרי אלומיניום,מכסה לתבנית 80A ,ארוז 100 יח',יח',0,0,,
487,7111015,נתון חסר,מוצרי אלומיניום,מכסה לתבנית 8B ,ארוז 100 יח',יח',0,0,,
493,7111077,נתון חסר,מוצרי אלומיניום,מכסה לתבנית 90 (R2),ארוז 100 יח',יח',0,0,,
492,711107,נתון חסר,מוצרי אלומיניום,מכסה לתבנית 90 (R2),ארוז 100 יח',יח',0,0,,
484,7111013,נתון חסר,מוצרי אלומיניום,מכסה לתבנית גסטרונום,ארוז 50 יח',יח',0,0,,
453,7110077,נתון חסר,חומרי ניקוי,"מלח גבישי לריכוך 25 ק""ג",שק בודד,יח',0,0,,
277,320850,נתון חסר,חומרי ניקוי,"מלח למדיח 2 ק""ג",ריק,יח',0,0,,
592,923029,נתון חסר,אביזרי ניקיון,ממרקות ברזל 50 גר' ,ארוז 12 יח',יח',0,0,,
279,323279,נתון חסר,חומרי ניקוי,מנקה כללי רב עוצמה PRO104,בודד,יח',0,0,,
295,324268,נתון חסר,חומרי ניקוי,מסיר אבן 1 ליטר,ארוז 12 יח',יח',0,0,,
294,324264,נתון חסר,חומרי ניקוי,מסיר אבנית  4 ליטר,ארוז 4 יח',יח',0,0,,
